Trial,totalTime_new,totalTime_old
0,25,20
1,25,19
2,28,19
3,21,22
4,24,15
5,29,24
6,27,23
7,29,20
8,26,17
9,23,16
10,23,27
11,27,14
12,29,16
13,33,18
14,26,25
15,33,29
16,27,24
17,35,15
18,28,20
19,23,27
20,26,19
21,24,16
22,25,13
23,26,16
24,24,20
25,25,14
26,20,15
27,30,14
28,18,18
29,22,29
30,23,17
31,26,13
32,32,19
33,28,16
34,18,18
35,29,18
36,16,25
37,24,17
38,24,23
39,22,10
40,26,23
41,26,24
42,37,15
43,18,16
44,24,22
45,16,30
46,22,22
47,26,22
48,30,20
49,18,24
50,22,12
51,28,12
52,23,14
53,37,13
54,25,12
55,33,16
56,24,14
57,19,23
58,24,18
59,23,16
60,30,13
61,39,19
62,24,24
63,21,18
64,33,14
65,29,20
66,33,18
67,25,24
68,29,21
69,34,20
70,27,15
71,33,17
72,29,23
73,21,25
74,29,17
75,26,24
76,29,16
77,18,18
78,25,17
79,25,13
80,30,15
81,26,23
82,27,18
83,22,15
84,24,11
85,32,27
86,26,21
87,30,17
88,23,13
89,29,22
90,29,21
91,31,18
92,24,16
93,25,13
94,31,18
95,27,13
96,27,11
97,36,18
98,27,12
99,22,21
100,27,17
101,27,12
102,28,20
103,36,16
104,25,22
105,23,15
106,27,14
107,31,15
108,25,15
109,28,15
110,29,22
111,23,18
112,27,18
113,25,12
114,27,17
115,30,24
116,30,15
117,28,27
118,32,24
119,30,17
120,19,17
121,35,18
122,26,16
123,28,23
124,26,23
125,31,20
126,22,20
127,34,18
128,21,15
129,23,17
130,26,23
131,23,18
132,28,12
133,26,16
134,26,16
135,30,16
136,21,19
137,33,16
138,25,26
139,24,19
140,30,15
141,25,22
142,35,24
143,23,22
144,25,15
145,25,20
146,23,23
147,25,25
148,17,16
149,30,20
150,24,16
151,24,18
152,21,21
153,23,21
154,29,14
155,26,14
156,26,20
157,30,12
158,23,16
159,24,19
160,25,17
161,24,16
162,29,16
163,23,20
164,27,19
165,25,18
166,33,15
167,24,17
168,18,16
169,19,23
170,29,22
171,22,16
172,18,16
173,25,15
174,26,25
175,23,24
176,29,13
177,23,17
178,32,15
179,29,17
180,30,19
181,28,18
182,23,23
183,23,18
184,32,23
185,24,17
186,24,17
187,29,17
188,20,22
189,29,18
190,31,23
191,34,20
192,27,14
193,23,12
194,27,11
195,19,14
196,31,14
197,26,17
198,21,11
199,31,20
200,23,16
201,33,23
202,26,15
203,21,15
204,22,15
205,21,19
206,21,11
207,32,19
208,31,15
209,20,18
210,22,18
211,28,25
212,28,13
213,27,15
214,22,15
215,24,19
216,26,21
217,28,20
218,18,21
219,31,20
220,32,20
221,21,10
222,23,16
223,24,16
224,35,14
225,21,14
226,33,26
227,26,18
228,26,24
229,29,20
230,26,19
231,40,18
232,28,16
233,37,25
234,24,13
235,34,22
236,19,25
237,29,20
238,17,14
239,24,14
240,26,18
241,27,17
242,22,18
243,28,17
244,31,17
245,23,16
246,22,21
247,24,20
248,31,14
249,25,19
250,24,22
251,31,15
252,32,17
253,23,14
254,22,16
255,28,19
256,20,17
257,30,19
258,29,24
259,17,11
260,23,14
261,21,16
262,23,25
263,24,17
264,28,18
265,26,20
266,29,18
267,23,13
268,27,20
269,21,21
270,27,17
271,23,24
272,30,14
273,19,14
274,26,16
275,29,14
276,26,12
277,21,18
278,17,20
279,26,12
280,23,20
281,24,16
282,17,21
283,29,20
284,23,24
285,32,22
286,20,22
287,30,14
288,24,19
289,30,20
290,27,18
291,29,22
292,27,24
293,24,16
294,27,16
295,25,23
296,26,18
297,26,17
298,28,19
299,26,17
300,19,16
301,30,18
302,25,19
303,29,18
304,22,20
305,20,15
306,26,18
307,29,19
308,24,21
309,23,16
310,26,13
311,32,26
312,28,18
313,27,13
314,21,16
315,23,23
316,25,20
317,27,18
318,32,13
319,27,24
320,23,18
321,30,15
322,31,22
323,28,14
324,24,21
325,25,12
326,22,19
327,23,19
328,29,11
329,27,21
330,20,15
331,36,17
332,31,17
333,25,15
334,24,19
335,26,27
336,34,16
337,25,15
338,21,19
339,39,21
340,22,19
341,23,22
342,25,17
343,29,20
344,27,17
345,29,24
346,24,19
347,30,21
348,33,17
349,33,14
350,20,19
351,29,18
352,21,22
353,26,21
354,30,25
355,20,19
356,22,23
357,22,21
358,24,22
359,23,22
360,26,15
361,21,19
362,27,16
363,23,25
364,27,24
365,20,16
366,24,19
367,27,19
368,24,21
369,19,20
370,30,18
371,28,23
372,26,15
373,34,13
374,15,20
375,30,21
376,32,23
377,21,16
378,24,17
379,30,22
380,24,10
381,29,24
382,24,24
383,22,27
384,19,16
385,33,19
386,30,15
387,23,17
388,26,12
389,20,22
390,25,23
391,27,21
392,31,21
393,31,23
394,22,16
395,29,16
396,28,15
397,21,20
398,28,13
399,25,21
400,31,17
401,23,22
402,26,14
403,24,19
404,21,13
405,28,22
406,25,17
407,27,17
408,30,21
409,27,18
410,25,16
411,26,16
412,20,30
413,28,20
414,22,15
415,23,21
416,28,18
417,29,20
418,39,18
419,28,17
420,28,13
421,25,21
422,23,18
423,29,24
424,26,23
425,30,21
426,21,22
427,21,26
428,25,20
429,29,15
430,27,16
431,37,20
432,24,14
433,21,26
434,25,16
435,24,16
436,21,16
437,24,18
438,34,24
439,30,12
440,22,16
441,31,17
442,23,13
443,24,21
444,27,24
445,28,18
446,27,14
447,17,22
448,25,14
449,24,15
450,36,17
451,32,16
452,29,14
453,30,18
454,16,15
455,27,17
456,27,15
457,21,17
458,27,14
459,28,17
460,24,14
461,35,22
462,19,21
463,25,15
464,24,25
465,26,20
466,26,10
467,25,22
468,32,20
469,28,19
470,27,22
471,31,14
472,30,11
473,24,19
474,23,14
475,27,17
476,26,24
477,25,23
478,33,22
479,23,21
480,27,19
481,20,19
482,23,15
483,27,17
484,31,20
485,25,16
486,29,15
487,23,22
488,19,22
489,28,20
490,39,20
491,27,23
492,30,20
493,28,14
494,27,21
495,22,18
496,20,21
497,25,17
498,27,14
499,19,16
500,27,20
501,21,21
502,26,20
503,20,17
504,29,20
505,28,29
506,31,21
507,25,19
508,28,21
509,22,25
510,30,19
511,40,19
512,19,20
513,25,15
514,21,21
515,31,17
516,33,21
517,30,19
518,27,19
519,20,25
520,27,19
521,30,26
522,21,15
523,30,17
524,25,14
525,30,19
526,33,18
527,27,20
528,19,19
529,28,18
530,29,17
531,26,18
532,16,20
533,25,18
534,25,24
535,28,15
536,34,17
537,26,24
538,29,18
539,34,30
540,27,19
541,24,20
542,25,17
543,29,16
544,33,20
545,31,18
546,27,13
547,22,15
548,31,22
549,25,20
550,26,29
551,24,14
552,20,18
553,22,13
554,27,21
555,21,19
556,29,14
557,25,22
558,29,23
559,29,22
560,22,14
561,28,16
562,24,18
563,25,20
564,29,17
565,22,18
566,24,20
567,32,18
568,20,21
569,24,23
570,20,21
571,24,21
572,32,18
573,22,26
574,35,17
575,29,12
576,24,19
577,20,17
578,26,14
579,28,16
580,21,17
581,23,14
582,18,23
583,28,21
584,24,18
585,30,19
586,23,20
587,21,27
588,24,12
589,22,19
590,25,18
591,23,18
592,26,24
593,20,17
594,29,20
595,29,14
596,29,19
597,21,17
598,32,16
599,20,20
600,26,18
601,29,16
602,28,21
603,25,14
604,19,20
605,28,19
606,25,19
607,24,28
608,26,12
609,25,17
610,20,16
611,28,14
612,31,13
613,29,17
614,28,24
615,24,21
616,20,22
617,30,17
618,30,19
619,24,11
620,26,15
621,28,12
622,18,28
623,30,16
624,25,18
625,25,22
626,23,21
627,18,23
628,28,20
629,25,20
630,25,21
631,26,14
632,21,19
633,23,22
634,25,16
635,29,18
636,24,18
637,17,18
638,23,16
639,28,19
640,19,24
641,17,18
642,32,25
643,23,18
644,35,23
645,28,13
646,25,13
647,25,22
648,28,17
649,33,28
650,23,14
651,29,13
652,27,24
653,23,18
654,36,21
655,27,16
656,20,16
657,26,29
658,24,18
659,28,19
660,22,19
661,26,14
662,21,16
663,26,18
664,28,20
665,24,13
666,22,14
667,29,19
668,24,17
669,32,25
670,25,13
671,25,11
672,27,19
673,29,16
674,19,19
675,30,11
676,30,18
677,23,18
678,21,18
679,18,11
680,18,16
681,27,15
682,23,19
683,24,21
684,32,19
685,25,17
686,40,15
687,29,17
688,23,27
689,21,17
690,30,20
691,28,20
692,23,14
693,21,16
694,18,16
695,30,18
696,31,20
697,34,17
698,24,14
699,24,21
700,22,26
701,26,18
702,28,20
703,31,23
704,32,15
705,20,12
706,26,24
707,19,14
708,32,17
709,21,21
710,31,21
711,28,25
712,26,24
713,24,13
714,33,20
715,24,18
716,36,15
717,31,20
718,27,17
719,23,13
720,21,24
721,29,18
722,30,20
723,28,17
724,21,15
725,34,14
726,30,18
727,27,15
728,14,24
729,22,14
730,27,13
731,24,14
732,21,18
733,27,16
734,34,13
735,27,19
736,29,16
737,31,17
738,25,19
739,26,21
740,29,18
741,28,24
742,31,26
743,22,19
744,30,17
745,35,28
746,26,15
747,22,19
748,30,21
749,24,24
750,25,16
751,23,16
752,27,16
753,34,19
754,19,12
755,23,18
756,32,18
757,19,19
758,25,12
759,25,16
760,25,14
761,26,19
762,26,12
763,25,14
764,20,21
765,27,22
766,28,23
767,26,14
768,26,19
769,21,25
770,26,18
771,32,16
772,38,17
773,21,14
774,31,21
775,23,15
776,28,18
777,26,22
778,26,18
779,30,23
780,24,16
781,23,19
782,21,13
783,22,17
784,26,18
785,22,16
786,15,14
787,27,17
788,33,22
789,25,14
790,23,17
791,27,15
792,30,15
793,26,20
794,29,17
795,19,18
796,23,27
797,30,13
798,20,16
799,22,21
800,26,22
801,32,15
802,24,26
803,32,22
804,28,18
805,25,14
806,19,17
807,33,13
808,20,19
809,24,17
810,24,17
811,27,24
812,23,26
813,29,11
814,28,19
815,21,14
816,22,20
817,27,14
818,27,23
819,28,23
820,24,20
821,36,17
822,27,21
823,25,20
824,30,16
825,26,16
826,18,17
827,32,20
828,30,16
829,27,20
830,30,28
831,25,22
832,35,20
833,20,19
834,30,17
835,35,15
836,27,22
837,25,13
838,26,16
839,25,26
840,30,13
841,20,28
842,29,18
843,20,23
844,21,21
845,33,19
846,26,16
847,29,14
848,25,21
849,23,20
850,22,20
851,28,33
852,24,20
853,29,15
854,29,17
855,33,19
856,30,19
857,22,15
858,30,20
859,25,11
860,25,12
861,31,14
862,21,17
863,23,17
864,24,22
865,23,15
866,27,18
867,33,15
868,31,19
869,30,18
870,24,18
871,21,18
872,22,27
873,21,19
874,28,20
875,20,18
876,24,18
877,26,10
878,27,12
879,22,17
880,24,19
881,29,27
882,30,18
883,16,21
884,29,21
885,22,16
886,24,19
887,25,22
888,24,21
889,20,17
890,23,29
891,24,21
892,38,26
893,23,18
894,23,14
895,29,20
896,25,15
897,31,20
898,25,25
899,27,16
900,23,22
901,28,13
902,31,22
903,23,20
904,31,18
905,34,21
906,32,15
907,33,18
908,25,18
909,24,25
910,20,21
911,17,19
912,27,25
913,24,15
914,35,13
915,20,22
916,24,23
917,24,21
918,24,15
919,31,24
920,23,22
921,30,13
922,21,20
923,31,18
924,24,28
925,35,20
926,25,20
927,24,16
928,29,19
929,22,13
930,30,14
931,31,15
932,23,23
933,29,19
934,26,22
935,27,19
936,19,17
937,25,24
938,24,13
939,27,20
940,33,17
941,20,22
942,22,18
943,28,17
944,27,23
945,22,12
946,29,17
947,29,15
948,35,19
949,23,17
950,26,16
951,24,20
952,28,20
953,29,22
954,24,20
955,22,27
956,24,21
957,23,20
958,33,20
959,27,21
960,29,16
961,26,17
962,33,14
963,23,19
964,22,23
965,37,20
966,18,23
967,26,15
968,25,16
969,29,14
970,37,19
971,21,10
972,25,24
973,22,21
974,20,18
975,25,22
976,25,19
977,31,16
978,27,20
979,29,24
980,28,21
981,34,19
982,27,16
983,18,15
984,28,17
985,31,16
986,25,15
987,21,24
988,34,21
989,23,26
990,27,18
991,19,17
992,31,17
993,22,14
994,20,14
995,22,22
996,22,18
997,22,16
998,23,16
999,26,22
